"Collection Name","Title#1","Title Type#1","Title#2","Title Type#2","Name#1","Name Role Term Text#1","Name URI#1","Name#2","Name Role Term Text#2","Name URI#2","Name#3","Name Role Term Text#3","Name URI#3","Name#4","Name Role Term Text#4","Name URI#4","Resource Type#1","Resource Type URI#1","Resource Type#2","Resource Type URI#2","Genre#1","Genre URI#1","Genre#2","Genre URI#2","Genre#3","Genre URI#3","Place Created#1","Publisher#1","Date Issued#1","Date Created#1","Date Captured#1","Edition#1","Language Term#1","Language Term URI#1","Form#1","Form URI#1","Extent#1","Internet Media Type#1","Internet Media Type URI#1","Digital Origin#1","Form#2","Form URI#2","Abstract#1","Note#1","Subject Topic#1","Subject Topic URI#1","Subject Topic#2","Subject Topic URI#2","Subject Topic#3","Subject Topic URI#3","Subject Topic#4","Subject Topic URI#4","Subject Topic#5","Subject Topic URI#5","Subject Name#1","Subject Name URI#1","Subject Name#10","Subject Name URI#10","Subject Name#11","Subject Name URI#11","Subject Name#12","Subject Name URI#12","Subject Name#13","Subject Name URI#13","Subject Name#14","Subject Name URI#14","Subject Name#15","Subject Name URI#15","Subject Name#16","Subject Name URI#16","Subject Name#17","Subject Name URI#17","Subject Name#18","Subject Name URI#18","Subject Name#19","Subject Name URI#19","Subject Name#2","Subject Name URI#2","Subject Name#20","Subject Name URI#20","Subject Name#3","Subject Name URI#3","Subject Name#4","Subject Name URI#4","Subject Name#5","Subject Name URI#5","Subject Name#6","Subject Name URI#6","Subject Name#7","Subject Name URI#7","Subject Name#8","Subject Name URI#8","Subject Name#9","Subject Name URI#9","Subject Geographic#1","Subject Geographic URI#1","Subject Geographic#2","Subject Geographic URI#2","Subject Genre#1","Subject Genre URI#1","Local Identifier#1","Persistent Identifier#1","Reference Identifier#1","Physical Location#1","Shelf Locator#1","Access Condition#1","Access Condition URI#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"University of Colorado Boulder History Collection","Address by Howard Mumford Jones","Devised","","","Jones, Howard Mumford, 1892-1980","author","http://id.loc.gov/authorities/names/n78096067","Lovelace, Walter B.","","local","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","","","academic addresses (documents)","http://vocab.getty.edu/page/aat/300417822","","","","","","","","1951-01-26","2025","","English","https://id.loc.gov/vocabulary/iso639-2/eng.html","speeches (documents)","http://vocab.getty.edu/page/aat/300026671","20 numbered pages","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","A speech from Howard Mumford Jones, presented at the University of Colorado Boulder's 75th anniversary observance. The document also includes a letter from Walter B. Lovelace of the CU Boulder News Bureau to the Daily Camera.","","Anniversaries","http://id.worldcat.org/fast/809757","College campuses","http://id.loc.gov/authorities/subjects/sh2006002824","Speeches, addresses, etc.","http://id.worldcat.org/fast/1129318","","","","","University of Colorado Boulder","http://id.loc.gov/authorities/names/n81059815","","","","","","","","","","","","","","","","","","","","","Boulder Daily Camera","local","","","CU Boulder","local","","","","","","","","","","","","","Boulder (Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","narv_cuBoulderHistoryColl_howardMumfordJonesSpeech75thAnn.pdf","https://ark.colorado.edu/ark:/47540/4n7d0n39g0zd","0d0a1a34f41d0ca0502269681ecb6499","University of Colorado Boulder Libraries Archives","University of Colorado History collection | COU:2543 | Box 35 | Folder 4","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","23","1255431","5443","narv_cuBoulderHistoryColl_howardMumfordJonesSpeech75thAnn.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~58~58~23~1255431"
"University of Colorado Boulder History Collection","Campus, University of Colorado Boulder, 1897","Devised","","","Von Holdt, Fredrick","gardener","local","","","","","","","","","","Cartographic","http://id.loc.gov/vocabulary/resourceTypes/car","","","Campus maps","http://id.loc.gov/authorities/genreForms/gf2023026077","landscapes (visual works)","http://vocab.getty.edu/page/aat/300015636","","","","","","approximately 1897","2025","","English","https://id.loc.gov/vocabulary/iso639-2/eng.html","prints (visual works)","http://vocab.getty.edu/page/aat/300041273","1 map : chiefly color","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","","Map of the landscaping around prominent buildings at the University of Colorado Boulder campus. The map is hand drawn by Frederick von Holdt.","Scale: 1"" = 60'","College campuses","http://id.loc.gov/authorities/subjects/sh2006002824","School buildings","http://id.loc.gov/authorities/subjects/sh85118278","College buildings","http://id.loc.gov/authorities/subjects/sh85141097","Landscape gardening","http://id.worldcat.org/fast/991916","Gardens--Design","http://id.worldcat.org/fast/937899","University of Colorado Boulder","http://id.loc.gov/authorities/names/n81059815","","","","","","","","","","","","","","","","","","","","","CU Boulder","local","","","","","","","","","","","","","","","","","Boulder (Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","narv_cuBoulderHistoryColl_campusMapVonHoldt1897.tif","https://ark.colorado.edu/ark:/47540/c31f4196254z","","University of Colorado Boulder Libraries Archives","University of Colorado Boulder campus maps | COU:2290","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","16","1255444","5443","narv_cuBoulderHistoryColl_campusMapVonHoldt1897.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~58~58~16~1255444"
"University of Colorado Boulder History Collection","Campus, University of Colorado Boulder, 1951","Devised","","","Geck, Francis J., 1900-","cartographer","http://id.loc.gov/authorities/names/n85119620","University of Colorado Boulder. Book Store","distributor","http://id.worldcat.org/fast/732135","","","","","","","Cartographic","http://id.loc.gov/vocabulary/resourceTypes/car","","","Campus maps","http://id.loc.gov/authorities/genreForms/gf2023026077","","","","","Boulder (Colo.)","University of Colorado Boulder","approximately 1951","","2025","","English","https://id.loc.gov/vocabulary/iso639-2/eng.html","prints (visual works)","http://vocab.getty.edu/page/aat/300041273","1 map","image/tiff","https://www.iana.org/assignments/media-types/image/tiff","reformatted digital","","","Map of the University of Colorado Boulder campus, drawn by Francis J. Geck in 1951. The map includes a key to the buildings located around campus.","","College campuses","http://id.loc.gov/authorities/subjects/sh2006002824","School buildings","http://id.loc.gov/authorities/subjects/sh85118278","College buildings","http://id.loc.gov/authorities/subjects/sh85141097","","","","","University of Colorado Boulder","http://id.loc.gov/authorities/names/n81059815","","","","","","","","","","","","","","","","","","","","","CU Boulder","local","","","","","","","","","","","","","","","","","Boulder (Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","narv_cuBoulderHistoryColl_campusMapGeck1951.tif","https://ark.colorado.edu/ark:/47540/w3009x10f99s","bdcf35bdf0a2731e0b1cfae12c7ba90f","University of Colorado Boulder Libraries Archives","University of Colorado Boulder campus maps | COU:2290 | Box 1 | Folder 2 | U183071195030","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","15","1255445","5443","narv_cuBoulderHistoryColl_campusMapGeck1951.tif","https://cudl.colorado.edu//luna/servlet/detail/CUB~58~58~15~1255445"
"University of Colorado Boulder History Collection","Colorado alumnus, 75th anniversary edition","Devised","","","Cuthbertson, Stuart","","http://id.loc.gov/authorities/names/n85328292","Bartram, Jack","","local","Stromberg, Edith","","local","Stearns, Robert L. (Robert Lawrence), 1892-","University of Colorado president","http://id.loc.gov/authorities/names/n00113354","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","","","magazines (periodicals)","http://vocab.getty.edu/page/aat/300215389","","","","","Boulder (Colo.)","Associated Alumni of the University of Colorado, Boulder","1951-01","","2025","Vol. 41 No. 3","English","https://id.loc.gov/vocabulary/iso639-2/eng.html","periodicals","http://vocab.getty.edu/page/aat/300026657","36 numbered pages","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","A publication of the Colorado Alumnus, which dedicates this issue to the observance of the University of Colorado, Boulder's 75th Anniversary. Page 2 starts with, ""Historical Milestones and Sidelights"" by Stuart Cuthberston. The article continues to highlight important milestones of the university by year.","","College campuses","http://id.loc.gov/authorities/subjects/sh2006002824","Anniversaries","http://id.worldcat.org/fast/809757","","","","","","","Jones, Howard Mumford, 1892-1980","http://id.loc.gov/authorities/names/n78096067","","","","","","","","","","","","","","","","","","","","","Norlin, George, 1871-1942","http://id.loc.gov/authorities/names/n86088666","","","University of Colorado Boulder","http://id.loc.gov/authorities/names/n81059815","CU Boulder","local","","","","","","","","","","","Boulder (Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","narv_cuBoulderHistoryColl_coloradoAlumnus75thAnn.pdf","https://ark.colorado.edu/ark:/47540/qd54268037t9","7c401333429661ed9a063327f67b5cd0","University of Colorado Boulder Libraries Archives","University of Colorado History collection | COU:2543 | Box 35 | Folder 2","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","18","1255441","5443","narv_cuBoulderHistoryColl_coloradoAlumnus75thAnn.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~58~58~18~1255441"
"University of Colorado Boulder History Collection","CU Boulder in brief and campus map, 1980","Devised","","","","","","","","","","","","","","","Cartographic","http://id.loc.gov/vocabulary/resourceTypes/car","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","Campus maps","http://id.loc.gov/authorities/genreForms/gf2023026077","brochures","http://vocab.getty.edu/page/aat/300248280","","","Boulder (Colo.)","University of Colorado Boulder","1980","","2025","","English","https://id.loc.gov/vocabulary/iso639-2/eng.html","prints (visual works)","http://vocab.getty.edu/page/aat/300041273","2 pages : map; pamphlet printed in blue and black ink","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","A brochure containing a map depicting the University of Colorado Boulder campus, including facts about the university. It goes into detail about the founding of the university, construction of various buildings around campus, accreditation, and the geography of the area. Local advertisements can be found on the last page.","","College campuses","http://id.loc.gov/authorities/subjects/sh2006002824","School buildings","http://id.loc.gov/authorities/subjects/sh85118278","College buildings","http://id.loc.gov/authorities/subjects/sh85141097","","","","","University of Colorado Boulder","http://id.loc.gov/authorities/names/n81059815","","","","","","","","","","","","","","","","","","","","","CU Boulder","local","","","","","","","","","","","","","","","","","Boulder (Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","narv_cuBoulderHistoryColl_campusMap1980.pdf","https://ark.colorado.edu/ark:/47540/94280x9241jh","cec131c0a650eec1c9ee6a78744f481d","University of Colorado Boulder Libraries Archives","University of Colorado Boulder campus maps | COU:2290 | Box 1 | Folder 5 | U183071195030","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","10","1255451","5443","narv_cuBoulderHistoryColl_campusMap1980.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~58~58~10~1255451"
"University of Colorado Boulder History Collection","Eighth anniversary: University of Colorado","Proper","","","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","","","event programs (documents)","http://id.loc.gov/authorities/genreForms/gf2014026156","","","","","Boulder (Colo.)","University of Colorado Boulder","1885-06-03","","2025","","English","https://id.loc.gov/vocabulary/iso639-2/eng.html","programs (documents)","http://vocab.getty.edu/page/aat/300027240","4 unnumbered pages","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","A program for an event related to the eighth anniversary of the University of Colorado Boulder. The event includes prayer, music performances, conferring degrees, an address to medical students, and benediction.","","Commencement ceremonies","http://id.worldcat.org/fast/869276","Concert programs","http://id.worldcat.org/fast/872991","Anniversaries","http://id.worldcat.org/fast/809757","College campuses","http://id.loc.gov/authorities/subjects/sh2006002824","","","University of Colorado Boulder","http://id.loc.gov/authorities/names/n81059815","Culver, George McClelland","local","Evans, Henry Carter","local","","","","","","","","","","","","","","","","","Stroud, Harrison Edward","local","","","Everts, T. H.","local","Pierce, W. A.","local","CU Boulder","local","Kellogg, G. N.","local","Duncan, Guy Dale","local","Sternberg, Lambert","local","Washburne, Lomie Louise","local","Boulder (Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","narv_cuBoulderHistoryColl_eigthAnnUniversityOfColo.pdf","https://ark.colorado.edu/ark:/47540/jv974h95562w","230b433f0f8b62cf24b1c4ac5ff863bc","University of Colorado Boulder Libraries Archives","University of Colorado History collection | COU:2543 | Box 33 | Folder","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","21","1255435","5443","narv_cuBoulderHistoryColl_eigthAnnUniversityOfColo.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~58~58~21~1255435"
"University of Colorado Boulder History Collection","Fifty Years Ago, semi-centennial address for the University of Colorado Boulder","Devised","","","Drumm, Henry A., 1857-1937","","http://id.loc.gov/authorities/names/no2010073065","","","","","","","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","","","academic addresses (documents)","http://vocab.getty.edu/page/aat/300417822","","","","","","","","1927-11-05","2025","","English","https://id.loc.gov/vocabulary/iso639-2/eng.html","speeches (documents)","http://vocab.getty.edu/page/aat/300026671","1 unnumbered page","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","An address by Henry A. Drumm for the University of Colorado Boulder's semi-centennial celebration.","","Anniversaries","http://id.worldcat.org/fast/809757","College campuses","http://id.loc.gov/authorities/subjects/sh2006002824","Speeches, addresses, etc.","http://id.worldcat.org/fast/1129318","","","","","University of Colorado Boulder","http://id.loc.gov/authorities/names/n81059815","","","","","","","","","","","","","","","","","","","","","CU Boulder","local","","","","","","","","","","","","","","","","","Boulder (Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","narv_cuBoulderHistoryColl_fiftyYearsAgoHenryADrumm.pdf","https://ark.colorado.edu/ark:/47540/917g4f533412","97558bb717c5543c9cc6cf0b68bd6399","University of Colorado Boulder Libraries Archives","University of Colorado History collection | COU:2543 | Box 33 | Folder 11","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","22","1255433","5443","narv_cuBoulderHistoryColl_fiftyYearsAgoHenryADrumm.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~58~58~22~1255433"
"University of Colorado Boulder History Collection","General information relating to the the semi-centennial celebration of the University of Colorado, 1927","Proper","The symposium and the speakers","Proper","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","","","general information","http://vocab.getty.edu/page/aat/300419392","reference sources","http://vocab.getty.edu/page/aat/300163404","","","Boulder (Colo.)","University of Colorado Boulder","1927","","2025","","English","https://id.loc.gov/vocabulary/iso639-2/eng.html","pamphlets","http://vocab.getty.edu/page/aat/300220572","4 unnumbered pages","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","A document containing general information relating to the semi-centennial celebration of the University of Colorado Boulder in 1927. The document mentions that CU Boulder intended to publish a series of five volumes regarding subjects of high interest to citizens of the state of Colorado. The volumes include geology and natural resources, Colorado plant life, zoology of Colorado, past and present studies of Colorado, and creative intelligence and modern life. The document continues to provide information about various campus buildings, points of interest around campus, and housing and transportation for guests.","","Anniversaries","http://id.worldcat.org/fast/809757","College campuses","http://id.loc.gov/authorities/subjects/sh2006002824","","","","","","","University of Colorado Boulder","http://id.loc.gov/authorities/names/n81059815","Goodykoontz, Colin Brummitt, 1885-1958","http://id.loc.gov/authorities/names/no00042349","Mills, Joe, 1880-1935","http://id.loc.gov/authorities/names/n87882393","Willard, James F. (James Field), 1876-1935","http://id.loc.gov/authorities/names/no2001023127","Barrett, Harry McWhirter, 1869-1940","http://id.loc.gov/authorities/names/no2016094135","McKeehan, Irene Pettit, 1882-1949","http://id.loc.gov/authorities/names/no2004022786","McConnell, Francis John, 1871-1953","http://id.loc.gov/authorities/names/no93012869","Woodbridge, Frederick James Eugene, 1867-1940","http://id.loc.gov/authorities/names/n81144093","Pound, Roscoe, 1870-1964","http://id.loc.gov/authorities/names/n79059931","Millikan, Robert Andrews, 1868-1953","http://id.loc.gov/authorities/names/n81120115","Taft, Lorado, 1860-1936","http://id.loc.gov/authorities/names/n83121888","Shorey, Paul, 1857-1934","http://id.loc.gov/authorities/names/n80080289","","","CU Boulder","local","George, Russell D., 1866-","http://id.loc.gov/authorities/names/n87813986","Ramaley, Francis, 1870-1942","http://id.loc.gov/authorities/names/no2001044941","Cockerell, Theodore D. A. (Theodore Dru Alison), 1866-1948","http://id.loc.gov/authorities/names/n88619263","Norlin, George, 1871-1942","http://id.loc.gov/authorities/names/n86088666","Henderson, Junius, 1865-1937","http://id.loc.gov/authorities/names/n87814620","Renaud, E. B. (Etienne Bernardeau), 1880-1973","http://id.loc.gov/authorities/names/n88050070","Boulder (Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","narv_cuBoulderHistoryColl_semiCentennialCelebrationGeneralInfo.pdf","https://ark.colorado.edu/ark:/47540/135b587816w1","78c22876fb5dac247ce51db6ec6f0239","University of Colorado Boulder Libraries Archives","University of Colorado History collection | COU:2543 | Box 33 | Folder 8","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","30","1255418","5443","narv_cuBoulderHistoryColl_semiCentennialCelebrationGeneralInfo.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~58~58~30~1255418"
"University of Colorado Boulder History Collection","Introductory speech by President George Norlin at the semi-centennial celebration","Devised","","","Norlin, George, 1871-1942","http://id.loc.gov/authorities/names/n86088666","","","","","","","","","","","Manuscript","http://id.loc.gov/vocabulary/resourceTypes/man","","","academic addresses (documents)","http://vocab.getty.edu/page/aat/300417822","","","","","","","","1927-11-03","2025","","English","https://id.loc.gov/vocabulary/iso639-2/eng.html","speeches (documents)","http://vocab.getty.edu/page/aat/300026671","5 numbered pages","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","An introductory speech by President George Norlin at the semi-centennial celebration for the University of Colorado Boulder.","","Anniversaries","http://id.worldcat.org/fast/809757","College campuses","http://id.loc.gov/authorities/subjects/sh2006002824","","","","","","","University of Colorado Boulder","http://id.loc.gov/authorities/names/n81059815","","","","","","","","","","","","","","","","","","","","","Norlin, George, 1871-1942","http://id.loc.gov/authorities/names/n86088666","","","CU Boulder","local","","","","","","","","","","","","","Boulder (Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","narv_cuBoulderHistoryColl_semiCentennialSpeechGeorgeNorlin.pdf","https://ark.colorado.edu/ark:/47540/k3016m87x3wh","","University of Colorado Boulder Libraries Archives","University of Colorado History collection | COU:2543 | Box 33 | Folder 12","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","34","1255410","5443","narv_cuBoulderHistoryColl_semiCentennialSpeechGeorgeNorlin.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~58~58~34~1255410"
"University of Colorado Boulder History Collection","Invitation to the semi-centennial celebration at the University of Colorado Boulder","Devised","","","","","","","","","","","","","","","Text","http://id.loc.gov/vocabulary/resourceTypes/txt","","","invitations","http://vocab.getty.edu/page/aat/300027083","","","","","Boulder (Colo.)","University of Colorado Boulder","1927","","2025","","English","https://id.loc.gov/vocabulary/iso639-2/eng.html","Invitation cards","http://id.loc.gov/authorities/subjects/sh86006388","1 unnumbered page","application/pdf","https://www.iana.org/assignments/media-types/application/pdf","reformatted digital","","","Invitation to the semi-centennial celebration at the University of Colorado Boulder. The invitation asks potential guest to RSVP to ""George Norlin, President of the University.""","","Anniversaries","http://id.worldcat.org/fast/809757","College campuses","http://id.loc.gov/authorities/subjects/sh2006002824","","","","","","","University of Colorado Boulder","http://id.loc.gov/authorities/names/n81059815","","","","","","","","","","","","","","","","","","","","","Norlin, George, 1871-1942","http://id.loc.gov/authorities/names/n86088666","","","CU Boulder","local","","","","","","","","","","","","","Boulder (Colorado, United States, North America) (inhabited place)","http://vocab.getty.edu/page/tgn/7013446","","","","","narv_cuBoulderHistoryColl_semiCentennialInvitation.pdf","https://ark.colorado.edu/ark:/47540/fh09113027xx","","University of Colorado Boulder Libraries Archives","University of Colorado History collection | COU:2543 | Box 33 | Folder 14","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.","http://rightsstatements.org/vocab/NoC-US/1.0/","31","1255416","5443","narv_cuBoulderHistoryColl_semiCentennialInvitation.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~58~58~31~1255416"
